,accuracy,precision,recall,f1
Multinomial Naive Bayes,0.9721973094170404,1.0,0.7919463087248322,0.8838951310861424
Logistic Regression,0.9695067264573991,1.0,0.7718120805369127,0.8712121212121212
Linear SVM,0.9838565022421525,0.9781021897810219,0.8993288590604027,0.9370629370629371
